Contract Address,Privileged Address,Unrestricted "from"/Owner Inconsistency,Empty Transfer Event
0x05bd82f65756a815741fd32cd8753562288c02fe,0,0,0
0x0523948b2693e9696b471973419b217530768fec,0,0,0
0x05e0d5f4d2f937c1146a8425cb1e92723310f191,0,0,0
0x057f9c4531bc5ea18bd3eeea666acfbeae050bf6,0,0,0
0x05D7D40BCC886127A942E6f72E6Fb161bab5e3Bd,0,0,0
0x058d198231522fc3529d7057d7809e49fc90898d,0,0,0
0x057375ea82c1db5897e6de07a5f9fc50b53a37d7,0,0,0
0x05005073fcc4823dd92376ec0e4565f78be918c2,0,0,0
0x05bc130b03c700b6d12b925f591267408a20aa58,0,0,0
0x05050a219Dc49C7B0f89aB069B71c5630E5F4390,0,0,0
0x05f674a6E11962810b517303EE7CeC22FFFB34c0,0,0,0
0x05a9c0b3Eb336D1EF3704ED0F116b7183683d658,0,0,0
0x05e940270968849786e9f187b0997ddfb394571a,0,0,0
0x05dA01E6c8a4Bf52de0d10a632bfA32Cd0906884,0,0,0
0x05a7ecb5b85acb6e3004e22e69ecca365e104927,0,0,0
0x0560156d4EC31F13D2Bf2bff511814EB4B51AE26,0,0,0
0x052F5f9C04Ca52D9Bd120d3509651d7985335B5b,0,0,0
0x05dbbe4baed86d9b1da83e67dea6326e2617dad2,0,0,0
0x05b4671B2cC4858A7E72c2B24e202a87520cf14e,0,0,0
0x0529612F9811aeDdc85123e01DC37985b00B353E,0,0,0
0x057c3f60302089aef88566a1a74d8005f45c286c,0,0,0
0x0520cd10b680484fa7dae38fbc9cdcd445ee06d7,0,0,0
0x0581a9aC8De86B81eb2031d12dD68282035Ea1a2,0,0,0
0x0540cd12951c6dc3b06bae466914b46dcaa28cf8,0,0,1
0x05a681ffa4aa2c42fdbd17d1180d5f0a14307c29,0,0,0
0x05f9b1db12faf63b5b2b95b8ee5c69a826d41237,0,0,0
0x05EFdD2dF729b326F210a5bE62b242F73EE9b834,0,0,0
0x058347de9a43e55d2e550528bb62a0c512f56eac,0,0,0
0x054df44d9bf67e87e09de919086bf12633f6bcf5,0,0,0
0x058D4025DfF49ABD471BCF3dC07e71D071DFb5E3,0,0,0
0x055b84552e1e2b51328093fb51093cae01d03e2e,0,0,0
